idiom,meaning
a blessing in disguise,a good thing that seemed bad at first
a dime a dozen,Something common
beat around the bush,"Avoid saying what you mean, usually because it is uncomfortable"
better late than never,Better to arrive late than not to come at all
bite the bullet,To get something over with because it is inevitable
break a leg,Good luck
call it a day,Stop working on something
cut somebody some slack,Don't be so critical
cutting corners,Doing something poorly in order to save time or money
easy does it,Slow down
get out of hand,Get out of control
get something out of your system,Do the thing you've been wanting to do so you can move on
get your act together,Work better or leave
give someone the benefit of the doubt,Trust what someone says
go back to the drawing board,Start over
hang in there,Don't give up
hit the sack,Go to sleep
it's not rocket science,It's not complicated
let someone off the hook,To not hold someone responsible for something
make a long story short,Tell something briefly
miss the boat,It's too late
"no pain, no gain",You have to work for what you want
on the ball,Doing a good job
pull someone's leg,To joke with someone
pull yourself together,Calm down
so far so good,Things are going well so far
speak of the devil,The person we were just talking about showed up!
that's the last straw,My patience has run out
the best of both worlds,An ideal situation
time flies when you're having fun,You don't notice how long something lasts when it's fun
to get bent out of shape,To get upset
to make matters worse,Make a problem worse
under the weather,Sick
we'll cross that bridge when we come to it,Let's not talk about that problem right now
wrap your head around something,Understand something complicated
you can say that again,"That's true, I agree"
your guess is as good as mine,I have no idea
a bird in the hand is worth two in the bush,What you have is worth more than what you might have later
a penny for your thoughts,Tell me what you're thinking
a penny saved is a penny earned,Money you save today you can spend later
a perfect storm,the worst possible situation
a picture is worth 1000 words,Better to show than tell
actions speak louder than words,Believe what people do and not what they say
add insult to injury,To make a bad situation worse
barking up the wrong tree,"To be mistaken, to be looking for solutions in the wrong place"
birds of a feather flock together,People who are alike are often friends (usually used negatively)
bite off more than you can chew,Take on a project that you cannot finish
break the ice,Make people feel more comfortable
by the skin of your teeth,Just barely
comparing apples to oranges,Comparing two things that cannot be compared
costs an arm and a leg,Very expensive
do something at the drop of a hat,Do something without having planned beforehand
do unto others as you would have them do unto you,"Treat people fairly. Also known as ""The Golden Rule"""
don't count your chickens before they hatch,Don't count on something good happening until it's happened.
don't cry over spilt milk,There's no reason to complain about something that can't be fixed
don't give up your day job,You're not very good at this
don't put all your eggs in one basket,What you're doing is too risky
every cloud has a silver lining,Good things come after bad things
get a taste of your own medicine,Get treated the way you've been treating others (negative)
give someone the cold shoulder,Ignore someone
go on a wild goose chase,To do something pointless
good things come to those who wait,Be patient
he has bigger fish to fry,He has bigger things to take care of than what we are talking about now
he's a chip off the old block,The son is like the father
hit the nail on the head,Get something exactly right
ignorance is bliss,You're better off not knowing
it ain't over till the fat lady sings,This isn't over yet
it takes one to know one,You're just as bad as I am
it's a piece of cake,It's easy
it's raining cats and dogs,It's raining hard
kill two birds with one stone,Get two things done with a single action
let the cat out of the bag,Give away a secret
live and learn,I made a mistake
look before you leap,Take only calculated risks
on thin ice,"On probation. If you make another mistake, there will be trouble."
once in a blue moon,Rarely
play devil's advocate,"To argue the opposite, just for the sake of argument"
put something on ice,Put a projet on hold
rain on someone's parade,To spoil something
saving for a rainy day,Saving money for later
slow and steady wins the race,Reliability is more important than speed
spill the beans,Give away a secret
take a rain check,Postpone a plan
take it with a grain of salt,Donât take it too seriously
the ball is in your court,It's your decision
the best thing since sliced bread,A really good invention
the devil is in the details,"It looks good from a distance, but when you look closer, there are problems"
the early bird gets the worm,The first people who arrive will get the best stuff
the elephant in the room,"The big issue, the problem people are avoiding"
the whole nine yards,"Everything, all the way."
there are other fish in the sea,It's ok to miss this opportunity. Others will arise.
there's a method to his madness,He seems crazy but actually he's clever
there's no such thing as a free lunch,Nothing is entirely free
throw caution to the wind,Take a risk
you can't have your cake and eat it too,You can't have everything
you can't judge a book by its cover,"This person or thing may look bad, but it's good inside"
a little learning is a dangerous thing,People who don't understand something fully are dangerous
a snowball effect,Events have momentum and build upon each other
a snowball's chance in hell,No chance at all
a stitch in time saves nine,Fix the problem now because it will get worse later
a storm in a teacup,A big fuss about a small problem
an apple a day keeps the doctor away,Apples are good for you
an ounce of prevention is worth a pound of cure,You can prevent a problem with little effort. Fixing it later is harder.
as right as rain,Perfect
bolt from the blue,Something that happened without warning
burn bridges,Destroy relationships
calm before the storm,"Something bad is coming, but right now it's calm"
come rain or shine,No matter what
curiosity killed the cat,Stop asking questions
cut the mustard,Do a good job
don't beat a dead horse,"Move on, this subject is over"
every dog has his day,Everyone gets a chance at least once
familiarity breeds contempt,The better you know someone the less you like him
fit as a fiddle,In good health
fortune favours the bold,Take risks
get a second wind,Have more energy after having been tired
get wind of something,Hear news of something secret
go down in flames,Fail spectacularly
haste makes waste,You'll make mistakes if you rush through something
have your head in the clouds,Not be concentrating
he who laughs last laughs loudest,I'll get you back for what you did
hear something straight from the horse's mouth,Hear something from the person involved
he's not playing with a full deck,He's dumb
he's off his rocker,He's crazy
he's sitting on the fence,He can't make up his mind
it is a poor workman who blames his tools,"If you can't do the job, don't blame it on others"
it is always darkest before the dawn,Things are going to get better
it takes two to tango,One person alone isn't responsible. Both people are involved.
jump on the bandwagon,"Follow a trend, do what everyone else is doing"
know which way the wind is blowing,Understand the situation (usually negative)
leave no stone unturned,Look everywhere
let sleeping dogs lie,Stop discussing an issue
like riding a bicycle,Something you never forget how to do
like two peas in a pod,They're always together
make hay while the sun shines,Take advantage of a good situation
on cloud nine,Very happy
"once bitten, twice shy",You're more cautious when you've been hurt before
out of the frying pan and into the fire,Things are going from bad to worse
run like the wind,Run fast
shape up or ship out,Work better or leave
snowed under,Busy
that ship has sailed,It's too late
the pot calling the kettle black,Someone criticizing someone else he is just as bad
there are clouds on the horizon,Trouble is coming
those who live in glass houses shouldn't throw stones,People who are morally questionable shouldn't criticize others
through thick and thin,In good times and in bad times
time is money,Work quickly
"waste not, want not",Don't waste things and you'll always have enough
we see eye to eye,We agree
weather the storm,Go through something difficult
well begun is half done,Getting a good start is important
when it rains it pours,Everything is going wrong at once
you can catch more flies with honey than you can with vinegar,You'll get what you want by being nice
"you can lead a horse to water, but you can't make him drink",You can't force someone to make the right decision
you can't make an omelet without breaking some eggs,There's always a cost to doing something
a bitter pill to swallow,A situation or information that is unpleasant but must be accepted
a hot potato,A controversial issue or situation that is awkward or unpleasant to deal with
a sandwich short of a picnic,Lacking intelligence
ace in the hole,A hidden or secret strength; an unrevealed advantage
achilles' heel,A small but fatal weakness in spite of overall strength.
all ears,Listening intently; fully focused or awaiting an explanation.
all thumbs,"Clumsy, awkward."
an arm and a leg,Very expensive or costly; a large amount of money
apple of discord,"Anything causing trouble, discord, or jealousy."
around the clock,When something is done all day and all night without stopping.
as queer as a [strange object] (uk),Something particularly strange or unusual
at the drop of a hat,Without any hesitation; instantly
back to the drawing board,"Revising something (such as a plan) from the beginning, typically after it has failed."
back to the grindstone,To return to a hard and/or tedious task.
ball is in his/her/your court,It is up to him/her/you to make the next decision or step.
balls to the wall,Full throttle; at maximum speed.
basket case,"One made powerless or ineffective, as by nerves, panic, or stress."
beating a dead horse,To uselessly dwell on a subject far beyond its point of resolution.
bed of roses,A situation or activity that is comfortable or easy.
the bee's knees,"Something or someone outstandingly good, excellent, or wonderful."
bird brain,A person who is not too smart; a person who acts stupid.
bite off more than one can chew,To take on more responsibility than one can manage.
bite the dust,A euphemism for dying or death.
bought the farm,A euphemism for dying or death.
burn the midnight oil,To work late into the night.
bust one's chops,To exert oneself.
by the length and breadth of something or somewhere,you are emphasizing that it happens everywhere in that place.
by the seat of one's pants,To achieve through instinct or to do something without advance preparation.
by the skin of one's teeth,Narrowly; barely. Usually used in regard to a narrow escape from a disaster.
call a spade a spade,"To speak the truth, even to the point of being blunt and rude."
champ at the bit or chomp at the bit,To show impatience or frustration when delayed.
cheap as chips,Inexpensive; a good bargain.
chew the fat,To chat idly or generally waste time talking.
chink in one's armor,An area of vulnerability.
clam up,To become silent; to stop talking.
cold shoulder,To display aloofness and disdain.
couch potato,A lazy person.
crocodile tears,Fake tears or drama tears; fake crying.
cut off your nose to spite your face,To pursue revenge in a way that would damage oneself more than the object of one's anger.
cut a rug,To dance.
cut the cheese (us),To fart.
dig one's heels in,"On genuine objection to some process or action or motion, actually to stop or oppose it strongly."
don't count chickens before they hatch,"Don't make plans for something that may not happen; alternatively, don't make an assumption about something that does not have a definitively predetermined outcome."
don't have a cow,Don't overreact.
drop a dime (us),To make a telephone call; to be an informant.
elephant in the room,"An obvious, pressing issue left unaddressed due to its sensitive nature."
eleventh hour,At the last minute; the latest possible time before it is too late.
fish out of water,"refers to a person who is in unfamiliar, and often uncomfortable surroundings."
for a song,Almost free; very cheap.
fly in the ointment,"A minor drawback or imperfection, especially one that was not at first apparent, that detracts from something positive, spoils something valuable, or is a source of annoyance."
fly on the wall,"To join an otherwise private interaction, unnoticed to watch and/or listen to something."
from a to z,Covering a complete range; comprehensively.
from scratch / make from scratch,To make from original ingredients; to start from the beginning with no prior preparation.
get bent out of shape,"To take offense; to get worked up, aggravated, or annoyed."
get one's ducks in a row,to become well prepared for a desired outcome.
get one's knickers in a twist,(UK) To become overwrought or unnecessarily upset over a trivial matter.
get your goat,To irritate someone.
gone south,having an unforeseen or chaotic result
grasp the nettle,"To tackle a problem in a bold manner, despite the difficulty or complexity of doing so; to solve a problem despite short-term adverse consequences."
have a blast,To have a good time; to enjoy oneself.
have all your christmases come at once,To have extreme good fortune.
have eyes bigger than one's stomach,To have asked for or taken more of something (especially food) than one is actually capable of handling (or eating).
have eyes in the back of one's head,To be able to perceive things and events that are outside of one's field of vision.
head over heels,"Be smitten, infatuated."
heard it through the grapevine,"To have learned something through gossip, hearsay, or a rumor."
hit the ceiling/roof,"To become enraged, possibly in an overreaction"
hit the road,To leave; start a journey
hit the sack/sheets/hay,To go to bed; to go to sleep.
hit the spot,To be particularly pleasing or appropriate; to be just right.
hold all the cards,To control a situation; to be the one making the decisions.
hold your horses,Wait. Slow down.
"hook, line and sinker",To be completely fooled by a deception.
jump ship,"To leave a job, organization, or activity suddenly."
kick the bucket,A euphemism for dying or death.
kick the habit,To stop engaging in a habitual practice
like pulling hens' teeth,having difficulty in getting a person or item to act in a desired fashion; reference to an impossible task
look a gift horse in the mouth,To find fault with something that has been received as a gift or favor
method to (one's) madness,"Despite one's seemingly random approach, there is actually orderly structure or logic to it"
my two cents,(US) one's opinion on the subject
nip (something) in the bud,"To stop something at an early stage, before it can develop into something of more significance (especially an obstacle or frustration)."
no horse in this race or no dog in this fight,No vested interest in the outcome of a particular contest or debate.
off one's trolley or off one's rocker,"Crazy, demented, out of one's mind, in a confused or befuddled state of mind, senile."
off the hook,"To escape a situation of responsibility or obligation, or, less frequently, danger."
like turkeys voting for christmas,Accepting  a situation that will have a negative outcome.
lit up like a christmas tree,Clothes  that are too bright or colourful for the occasion.
own goal,To do something accidentally negative against yourself or your own team.
part and parcel,The attribute of being an integral or essential component of another object.
pop one's clogs,(UK) A euphemism for dying or death.
piece of cake,"A job, task or other activity that is pleasant – or, by extension, easy or simple."
not one’s cup of tea,Not the type of thing the person likes.
preaching to the choir,"To present a side of a discussion or argument to someone who already agrees with it; essentially, wasting your time."
pull somebody's leg,To tease or joke by telling a lie.
push the envelope,"To approach, extend, or go beyond the limits of what is possible; to pioneer."
pushing up daisies,A euphemism for dying or death.
put the cat among the pigeons,To create a disturbance and cause trouble.
raining cats and dogs,Raining very hard or strongly.
right as rain,"Needed, appropriate, essential, or hoped-for; also has come to mean perfect, well, or absolutely right."
rock the boat,To do or say something that will upset people or cause problems.
shoot the breeze,"To chat idly or casually, without any serious topic of conversation."
shooting fish in a barrel,Frivolously performing a simple task.
step up to the plate,To deliver beyond expectations.
screw the pooch,To screw up; to fail in dramatic and ignominious fashion.
sleep with the fishes,To be murdered and thrown into a body of water
spin one's wheels,To expel much effort for little or no gain.
straw that broke the camel's back,The last in a line of unacceptable occurrences; the final tipping point in a sensitive situation.
take a shine,To develop a liking or fondness for someone or something.
take the biscuit,"(UK) To be particularly bad, objectionable, or egregious."
take (or grab) the bull by the horns,"To deal bravely and decisively with a difficult, dangerous, or unpleasant situation; to deal with a matter in a direct manner, especially to confront a difficulty rather than avoid it."
take the cake,"(US) To be especially good or outstanding. Alternatively (US) To be particularly bad, objectionable, or egregious."
take the piss,"(UK) To tease, ridicule, or mock someone."
take with a grain of salt,To not take what someone says too seriously; to treat someone's words with a degree of scepticism.
throw stones in glass houses,One who is vulnerable to criticism regarding a certain issue should not criticize others about the same issue.
throw the baby out with the bathwater,"To discard, especially inadvertently, something valuable while in the process of removing or rejecting something unwanted."
throw under the bus,To betray or sacrifice someone for selfish reasons.
thumb one's nose,To express scorn or disregard.
tie one on,To get drunk.
to steal someone's thunder,To preempt someone and rob them of gravitas or attention. To take credit for something someone else did.
trip the light fantastic,To dance.
two a penny,Cheap or common.
two left feet,Someone who cannot distinguish between directions.
under my thumb,Under my control.
wild goose chase,A frustrating or lengthy undertaking that accomplishes little.
put a spoke in one's wheel,"To disrupt, foil, or cause problems to one's plan, activity, or project."
